# Temps	MSD_moyen	Sim_0	Sim_1	Sim_2	Sim_3	Sim_4	Sim_5	Sim_6	Sim_7	Sim_8	Sim_9	Sim_10	Sim_11	Sim_12	Sim_13	Sim_14	Sim_15	Sim_16	Sim_17	Sim_18	Sim_19
0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+00	2.717570e-06	1.574394e-06	4.098231e-07	4.287546e-07	2.543319e-06	3.880802e-06	5.215711e-07	6.222485e-07	3.042722e-06	1.618020e-06	3.770774e-07	2.665768e-06	1.005156e-06	4.791548e-06	7.925173e-06	2.974466e-06	7.151101e-06	3.275292e-06	4.540366e-07	4.585739e-06	4.504388e-06
2.000000e+00	1.344228e-05	7.516937e-06	5.204811e-06	2.695564e-06	6.980600e-06	2.298407e-05	2.116034e-07	4.410545e-06	1.220995e-05	1.186184e-05	2.960422e-06	8.415081e-06	1.106889e-05	2.218294e-05	4.299885e-05	1.497528e-05	3.500322e-05	1.360088e-05	1.989147e-06	1.596620e-05	2.560884e-05
3.000000e+00	3.316585e-05	1.665515e-05	1.102676e-05	1.914898e-05	1.249065e-05	4.355571e-05	3.216686e-06	1.383496e-05	3.523904e-05	3.308005e-05	7.379664e-06	1.835103e-05	4.562234e-05	5.371433e-05	1.001178e-04	3.457787e-05	7.681175e-05	3.428354e-05	3.443062e-06	4.072567e-05	6.004205e-05
4.000000e+00	6.115807e-05	2.931101e-05	1.090206e-05	4.211014e-05	2.388422e-05	7.504329e-05	1.176768e-05	3.029020e-05	8.849823e-05	5.455630e-05	1.270671e-05	3.361494e-05	9.006012e-05	1.146946e-04	1.544636e-04	4.545400e-05	1.257694e-04	6.984439e-05	3.957688e-06	9.173732e-05	1.144955e-04
5.000000e+00	1.009548e-04	4.292729e-05	1.055539e-05	5.568358e-05	4.666275e-05	1.175538e-04	2.329048e-05	4.690638e-05	1.806676e-04	8.070436e-05	2.326445e-05	5.748748e-05	1.452087e-04	1.996723e-04	2.069704e-04	5.169804e-05	1.933963e-04	1.330000e-04	1.010582e-05	1.777809e-04	2.155597e-04
6.000000e+00	1.550831e-04	5.671912e-05	1.170397e-05	6.133182e-05	7.130564e-05	1.690325e-04	4.508989e-05	8.339519e-05	2.912935e-04	1.131868e-04	4.714011e-05	7.996040e-05	2.175002e-04	3.057623e-04	2.557241e-04	6.403504e-05	2.709211e-04	2.196998e-04	2.262988e-05	3.098558e-04	4.053751e-04
7.000000e+00	2.182996e-04	7.496103e-05	1.323707e-05	6.051452e-05	1.106103e-04	2.372119e-04	7.552001e-05	1.366550e-04	3.598252e-04	1.572258e-04	7.824760e-05	1.201401e-04	2.874994e-04	4.626827e-04	3.003177e-04	8.542810e-05	3.808967e-04	2.861363e-04	3.991165e-05	4.642154e-04	6.347556e-04
8.000000e+00	2.828676e-04	8.865656e-05	1.526593e-05	7.257274e-05	1.685307e-04	2.945082e-04	9.772697e-05	1.649304e-04	3.981726e-04	2.017782e-04	1.020241e-04	1.699027e-04	3.528016e-04	6.463134e-04	3.618865e-04	1.318537e-04	5.865401e-04	3.189907e-04	6.953112e-05	6.228946e-04	7.924713e-04
9.000000e+00	3.470499e-04	1.016512e-04	1.570614e-05	1.149935e-04	2.325574e-04	3.398718e-04	1.342356e-04	1.624338e-04	4.371665e-04	2.049577e-04	1.036580e-04	1.978988e-04	4.249212e-04	8.352922e-04	4.219440e-04	1.923847e-04	8.657289e-04	3.308570e-04	1.206910e-04	7.933665e-04	9.106826e-04
